mode,domain,task,seed,success,strict_grasp_success,attempt_count,retry_executed,gate_decision,terminal_label,recovery_label,target_distance_m
rule_rgb_retry,nominal,place_blue_cube_blue_pad,750,True,True,1,False,target_visual_status_ambiguous_no_retry,,,0.01164824543278981
learned_top_rule_recovery,nominal,place_blue_cube_blue_pad,750,True,True,1,False,accept_terminal,complete,stop,0.01164824543278981
learned_top_front_rule_recovery,nominal,place_blue_cube_blue_pad,750,True,True,1,False,accept_terminal,complete,stop,0.01164824543278981
rule_rgb_retry,nominal,place_blue_cube_blue_pad,751,True,True,1,False,target_visual_status_ambiguous_no_retry,,,0.009588165783485193
learned_top_rule_recovery,nominal,place_blue_cube_blue_pad,751,True,True,1,False,accept_terminal,complete,stop,0.009588165783485193
learned_top_front_rule_recovery,nominal,place_blue_cube_blue_pad,751,True,True,1,False,accept_terminal,complete,stop,0.009588165783485193
rule_rgb_retry,nominal,place_blue_cube_blue_pad,752,True,True,1,False,target_visual_status_ambiguous_no_retry,,,0.009976336634830933
learned_top_rule_recovery,nominal,place_blue_cube_blue_pad,752,True,True,1,False,accept_terminal,complete,stop,0.009976336634830933
learned_top_front_rule_recovery,nominal,place_blue_cube_blue_pad,752,True,True,1,False,accept_terminal,complete,stop,0.009976336634830933
rule_rgb_retry,nominal,place_blue_cube_blue_pad,753,True,True,1,False,target_visual_status_ambiguous_no_retry,,,0.011871704640566244
learned_top_rule_recovery,nominal,place_blue_cube_blue_pad,753,True,True,1,False,accept_terminal,complete,stop,0.011871704640566244
learned_top_front_rule_recovery,nominal,place_blue_cube_blue_pad,753,True,True,1,False,accept_terminal,complete,stop,0.011871704640566244
rule_rgb_retry,nominal,place_blue_cube_blue_pad,754,True,True,1,False,target_visual_status_ambiguous_no_retry,,,0.014520015204051816
learned_top_rule_recovery,nominal,place_blue_cube_blue_pad,754,True,True,1,False,accept_terminal,complete,stop,0.014520015204051816
learned_top_front_rule_recovery,nominal,place_blue_cube_blue_pad,754,True,True,1,False,accept_terminal,complete,stop,0.014520015204051816
rule_rgb_retry,nominal,place_blue_cube_red_pad,750,True,True,1,False,visual_target_confirmed,,,0.013999280473050057
learned_top_rule_recovery,nominal,place_blue_cube_red_pad,750,True,True,1,False,accept_terminal,complete,accept,0.013999280473050057
