version,split,seed,task,complexity,phase_mode,success,target_distance,object_z,max_object_z,height_threshold_hit,grasp_success,ever_grasp_success,ever_tcp_lift_success,tcp_grasp_lift_success,strict_grasp_lift_success,out_of_table,steps_taken,stop_reason,min_tcp_object_distance,min_tcp_object_distance_while_lifted,mean_action_norm,max_action_norm,phase_counts
contact_stage_phase_action_head_v1_candidate,train_range,0,place_blue_cube_blue_pad,medium,progress,False,0.10011471731276383,0.027938337041325246,0.04186642449418201,False,False,False,False,False,False,False,2840,,0.05616151668870522,,1.1586408606402472,1.7947423458099365,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,train_range,1,place_blue_cube_blue_pad,medium,progress,False,0.21052166536968492,0.024892244579783812,0.026,False,False,False,False,False,False,False,2840,,0.07308564092411711,,1.1895427226390638,1.7420521974563599,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,train_range,2,place_blue_cube_blue_pad,medium,progress,False,0.30265369766468964,0.024892244579783816,0.026,False,False,False,False,False,False,False,2840,,0.09939730714583597,,1.2043759541612276,1.8164387941360474,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,train_range,3,place_blue_cube_blue_pad,medium,progress,False,0.34803694518139905,0.02489224457978382,0.07958931678208692,False,False,False,False,False,False,False,2840,,0.025348454354615857,,1.1478142974242358,1.8061647415161133,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,train_range,4,place_blue_cube_blue_pad,medium,progress,False,0.33535728907846846,0.0248922445797838,0.040805425081137985,False,False,False,False,False,False,False,2840,,0.0360256724071997,,1.113270942929765,1.7118918895721436,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,heldout,100,place_blue_cube_blue_pad,medium,progress,False,0.2890239496147014,0.024892244579783816,0.026,False,False,False,False,False,False,False,2840,,0.2123511131381928,,1.1427539598039338,1.8078290224075317,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,heldout,101,place_blue_cube_blue_pad,medium,progress,True,0.05283313974969965,0.024246713225424984,0.04048676751404757,False,False,False,False,False,False,False,2840,,0.05439536849789661,,1.1700341316910696,1.8116464614868164,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,heldout,102,place_blue_cube_blue_pad,medium,progress,False,0.24151833052124258,0.024892244579783812,0.026,False,False,False,False,False,False,False,2840,,0.08139613610241368,,1.0782081933928207,1.808349609375,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,heldout,103,place_blue_cube_blue_pad,medium,progress,False,0.3220943114213894,0.02489224457978381,0.07192280050153446,False,False,False,False,False,False,False,2840,,0.04409415160797052,,1.1715714497780296,1.795436978340149,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
contact_stage_phase_action_head_v1_candidate,heldout,104,place_blue_cube_blue_pad,medium,progress,False,0.12840821462267688,0.024892244579783816,0.026,False,False,False,False,False,False,False,2840,,0.12686855910768624,,1.0935557024369778,1.8013088703155518,"{""approach"": 483, ""grasp"": 256, ""lift"": 425, ""place_release"": 966, ""transfer"": 710}"
