version,base_version,method,split,seed,task,complexity,success,target_distance,object_z,max_object_z,height_threshold_hit,grasp_success,ever_grasp_success,strict_grasp_lift_success,out_of_table,steps_taken,stop_reason,mean_action_norm,max_action_norm,gate_open_steps,gate_closed_steps,gate_policy_steps
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,train_range,0,place_blue_cube_blue_pad,medium,True,0.05616518417922059,0.03545490876352868,0.042581411201843146,False,False,False,False,False,2840,,0.8069617586656356,1.5271375179290771,1225,1615,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,train_range,1,place_blue_cube_blue_pad,medium,True,0.04383873590572107,0.026773155252033835,0.21788541390239574,True,False,False,False,False,2840,,0.7467587150318522,1.527023434638977,1250,1590,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,train_range,2,place_blue_cube_blue_pad,medium,False,0.23395267405861317,0.024892244579783798,0.0360541655090305,False,False,False,False,False,2840,,0.9066658296635454,1.5723376274108887,625,2215,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,train_range,3,place_blue_cube_blue_pad,medium,False,0.3402922377160533,0.024892244579783816,0.026,False,False,False,False,False,2840,,0.8115456112673585,1.5268977880477905,625,2215,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,train_range,4,place_blue_cube_blue_pad,medium,False,0.11003759321145504,0.023947269865460398,0.265060386777468,True,False,False,False,False,2840,,0.9310886643302273,1.5269566774368286,625,2215,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,heldout,100,place_blue_cube_blue_pad,medium,False,0.2890239496147014,0.024892244579783816,0.026,False,False,False,False,False,2840,,0.9176528473555202,1.5912553071975708,625,2215,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,heldout,101,place_blue_cube_blue_pad,medium,True,0.06458856766150466,0.024892244579777338,0.026,False,False,False,False,False,2840,,0.68948226751576,1.5271098613739014,1250,1590,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,heldout,102,place_blue_cube_blue_pad,medium,False,0.24151833052124258,0.024892244579783812,0.026,False,False,False,False,False,2840,,0.8976978028534164,1.5269420146942139,625,2215,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,heldout,103,place_blue_cube_blue_pad,medium,False,0.3019408952138772,0.02489224457978383,0.033921402763881475,False,False,False,False,False,2840,,0.8015442249850488,1.5537543296813965,625,2215,0
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,trajectory_conditioned_chunk_bc_v2,Trajectory-conditioned chunk BC + grasp gate,heldout,104,place_blue_cube_blue_pad,medium,False,0.3521068910973143,0.07449399654921861,0.1769081809676052,True,False,False,False,False,2840,,1.5341963303131116,1.9869624376296997,625,2215,0
grasp_gated_torch_act_state_chunk_v1_candidate,torch_act_state_chunk_v1,Torch state ACT + grasp gate,train_range,0,place_blue_cube_blue_pad,medium,False,0.08306274250228524,0.024892244579783267,0.028809142543962017,False,False,False,False,False,2840,,0.6925889041432193,1.5273330211639404,1250,1590,0
grasp_gated_torch_act_state_chunk_v1_candidate,torch_act_state_chunk_v1,Torch state ACT + grasp gate,train_range,1,place_blue_cube_blue_pad,medium,False,0.21052166536968492,0.024892244579783812,0.026,False,False,False,False,False,2840,,0.7002243459434576,1.5274571180343628,573,2267,0
