method_key,version,stage,artifact,success,success_rate,mean_target_distance,seeds
expert,expert_scripted_language_v1,language_oracle,scripts/run_expert.py,4/5,0.8,0.08927554980996454,"200,201,202,203,204"
structured_waypoint_policy,structured_waypoint_policy_v1,structured_control_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,4/5,0.8,0.08927554980996454,"200,201,202,203,204"
linear_bc,linear_bc_v1,weak_bc_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/bc/bc_linear_20260702_051909.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
knn_bc,knn_bc_v1,non_neural_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/knn_bc/knn_bc_20260702_051907.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
mlp_bc,mlp_bc_v1,neural_bc_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/mlp_bc/mlp_bc_20260702_053322.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
act_lite,act_lite_chunk_bc_v1,trajectory_conditioned_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/chunk_bc/chunk_bc_20260702_072710.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
trajectory_chunk,trajectory_conditioned_chunk_bc_v2,trajectory_conditioned_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
trajectory_knn,trajectory_knn_chunk_bc_v1,trajectory_memory_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,0/5,0.0,0.35527123885100076,"200,201,202,203,204"
torch_act,torch_act_state_chunk_v1,torch_act_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
torch_act_cuda,torch_act_state_chunk_cuda_v1,torch_act_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
torch_act_cvae,torch_act_cvae_state_chunk_v1,torch_act_cvae_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
visual_feature_act,visual_feature_act_lite_v1,visual_feature_act_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
object_action_head,object_language_action_head_lite_v1,vla_action_head_proxy,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/object_action_head/object_action_head_lite_20260720_044703.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
reward_weighted_action_head,reward_weighted_action_head_lite_v1,reward_weighted_bc_post_training,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
phase_action_head,phase_conditioned_action_head_lite_v1,phase_conditioned_action_head_proxy,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,0/5,0.0,0.3041322941966375,"200,201,202,203,204"
adapter_action_head,adapter_action_head_lite_v1,peft_action_head_proxy,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
lora_action_head,lora_action_head_lite_v1,peft_action_head_proxy,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
vision_language_action_head,vision_language_action_head_lite_v1,vla_action_head_proxy,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,0/5,0.0,0.3734137579095019,"200,201,202,203,204"
clip_action_head,clip_action_head_lite_v1,pretrained_vlm_action_head_proxy,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/clip_action_head/clip_action_head_lite_20260720_074716.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
multi_task_object_action_head,multi_task_object_action_head_lite_v1,multi_task_action_head_proxy,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/object_action_head/multi_task_object_action_head_lite_20260720_051331.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
diffusion_policy,diffusion_policy_lite_v1,diffusion_policy_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
torch_diffusion_policy,torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy_baseline,C:/Users/Administrator/Desktop/final project-robot ic/vla_robot_grasping/outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,0/5,0.0,0.31351732692251144,"200,201,202,203,204"
