version,split,seed,task,complexity,success,target_distance,object_z,max_object_z,height_threshold_hit,ever_grasp_success,tcp_grasp_lift_success,strict_grasp_lift_success,continued_to_place,out_of_table,steps_taken,stop_reason,mean_residual_norm,max_residual_norm
timing_aware_trajectory_prior_residual_bc_v1_candidate,train_range,0,place_blue_cube_blue_pad,medium,False,0.0884027385781287,0.024892244579783708,0.03633498153257518,False,False,False,False,False,False,1820,lift gate failed before transfer,0.016580806756238606,0.04270227625966072
timing_aware_trajectory_prior_residual_bc_v1_candidate,train_range,1,place_blue_cube_blue_pad,medium,True,0.01611918419740511,0.02489224457978342,0.18906617119080116,True,False,True,False,True,False,3500,,0.017170093585670527,0.04615846648812294
timing_aware_trajectory_prior_residual_bc_v1_candidate,train_range,2,place_blue_cube_blue_pad,medium,True,0.010938538435885837,0.024892244579782296,0.22663437359366972,True,False,True,False,True,False,3500,,0.017128871373765703,0.05429689213633537
timing_aware_trajectory_prior_residual_bc_v1_candidate,train_range,3,place_blue_cube_blue_pad,medium,False,0.3291403008514108,0.024892244579783673,0.038399088156792785,False,False,False,False,False,False,1820,lift gate failed before transfer,0.015092991212904862,0.049406856298446655
timing_aware_trajectory_prior_residual_bc_v1_candidate,train_range,4,place_blue_cube_blue_pad,medium,True,0.00657745820451171,0.02489224457974383,0.1869662887157313,True,False,True,False,True,False,3500,,0.01662271193687671,0.048990726470947266
timing_aware_trajectory_prior_residual_bc_v1_candidate,heldout,100,place_blue_cube_blue_pad,medium,False,0.28841469719790014,0.024892244579783816,0.03004815801803795,False,False,False,False,False,False,1820,lift gate failed before transfer,0.013599752431356726,0.0522240549325943
timing_aware_trajectory_prior_residual_bc_v1_candidate,heldout,101,place_blue_cube_blue_pad,medium,True,0.008014733957491107,0.02489224457976235,0.170544526156857,True,False,True,False,True,False,3500,,0.017684956109783212,0.042810410261154175
timing_aware_trajectory_prior_residual_bc_v1_candidate,heldout,102,place_blue_cube_blue_pad,medium,True,0.007343650551745589,0.02489224457978312,0.1947291565727788,True,False,True,False,True,False,3500,,0.016308852637186646,0.051380451768636703
timing_aware_trajectory_prior_residual_bc_v1_candidate,heldout,103,place_blue_cube_blue_pad,medium,True,0.007157155487041336,0.024892244579783476,0.21504401151894248,True,False,True,False,True,False,3500,,0.017881110812337803,0.05555998161435127
timing_aware_trajectory_prior_residual_bc_v1_candidate,heldout,104,place_blue_cube_blue_pad,medium,True,0.008273531004123603,0.02489224457978373,0.17551379069479295,True,False,True,False,True,False,3500,,0.01682070117841275,0.04548903927206993
