视频类型,版本,结果,视频文件,元数据文件,ffprobe可播放,元数据存在,宽度,高度,fps,帧数,视频时长秒,索引时长秒,时长偏差秒,时长通过,分辨率通过,审计状态,说明
主任务固定片段,expert_scripted_v1,success=True,outputs/videos/expert_scripted_v1_seed0.mp4,outputs/videos/expert_scripted_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,structured_waypoint_policy_v1,success=True,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,outputs/videos/structured_waypoint_policy_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,replay_demo_v1,replay 2840 steps,outputs/videos/replay_demo_v1_seed0.mp4,outputs/videos/replay_demo_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,linear_bc_v1,success=False,outputs/videos/linear_bc_v1_seed0.mp4,outputs/videos/linear_bc_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,knn_bc_v1,success=True,outputs/videos/knn_bc_v1_seed0.mp4,outputs/videos/knn_bc_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,mlp_bc_v1,success=False,outputs/videos/mlp_bc_v1_seed0.mp4,outputs/videos/mlp_bc_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,act_lite_chunk_bc_v1,success=False,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,outputs/videos/act_lite_chunk_bc_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,diffusion_policy_lite_v1,success=False,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,outputs/videos/diffusion_policy_lite_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,torch_diffusion_policy_state_chunk_v1,success=False,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,trajectory_conditioned_chunk_bc_v2,success=False,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,trajectory_knn_chunk_bc_v1,success=True,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,torch_act_state_chunk_v1,success=True,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,outputs/videos/torch_act_state_chunk_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,torch_act_state_chunk_cuda_v1,success=False,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,phase_conditioned_torch_act_v1,success=False,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,outputs/videos/phase_conditioned_torch_act_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,torch_act_cvae_state_chunk_v1,success=False,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,visual_feature_act_lite_v1,success=False,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,outputs/videos/visual_feature_act_lite_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
主任务固定片段,visual_act_cnn_cvae_v1,success=False,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,outputs/videos/visual_act_cnn_cvae_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
